device,timeindex,revenue,impressions,visits
tablet,0,12000,2000000,4800000
tablet,1,12000,2000000,4800000
tablet,2,12000,2000000,4800000
tablet,3,12000,2000000,4800000
tablet,4,12000,2000000,4800000
tablet,5,12000,2000000,4800000
tablet,6,12000,2000000,4800000
tablet,7,12000,2000000,4800000
tablet,8,12000,2000000,4800000
tablet,9,12000,2000000,4800000
tablet,10,12000,2000000,4800000
tablet,11,12000,2000000,4800000
tablet,14,12000,2000000,4800000
tablet,15,12000,2000000,4800000
tablet,16,12000,2000000,4800000
tablet,17,12000,2000000,4800000
